sub_county_name,population_2019,population_2024,census_year,projection_year,growth_rate
Westlands,247073,275726,2019,2024,0.023
Dagoretti North,268954,300019,2019,2024,0.023
Dagoretti South,283279,316004,2019,2024,0.023
Langata,331153,369401,2019,2024,0.023
Kibra,283088,315791,2019,2024,0.023
Roysambu,300273,334904,2019,2024,0.023
Kasarani,479288,534686,2019,2024,0.023
Ruaraka,226335,252477,2019,2024,0.023
Embakasi South,184277,205519,2019,2024,0.023
Embakasi North,261567,291760,2019,2024,0.023
Embakasi Central,254164,283497,2019,2024,0.023
Embakasi East,333147,371626,2019,2024,0.023
Embakasi West,280390,312783,2019,2024,0.023
Makadara,183399,204539,2019,2024,0.023
Kamukunji,167470,186784,2019,2024,0.023
Starehe,195814,218388,2019,2024,0.023
Mathare,119532,133330,2019,2024,0.023
